일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000008468,경산소방서 경산중앙지상147,소화용수시설 소화전(지상식),사용가,경상북도 경산시 서상동 6-1 ,35.82073212,128.7351532
1000008469,경산소방서 경산중앙지상148,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 879-1 ,35.82281494,128.7376709
1000008470,경산소방서 경산중앙지상149,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 870-7 ,35.8239212,128.7375793
1000008481,경산소방서 경산중앙지상150,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 275-1,35.82013702,128.7381592
1000008560,경산소방서 경산중앙지상151,소화용수시설 소화전(지상식),사용가,경상북도 경산시 서상동 10 ,35.82026672,128.7356567
1000008591,경산소방서 경산중앙지상152,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 234-9 ,35.8100853,128.7405853
1000008601,경산소방서 경산중앙지상153,소화용수시설 소화전(지상식),사용가,경상북도 경산시 백천동 588-1,35.80358124,128.7410736
1000008421,경산소방서 경산중앙지상154,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 414-2 ,35.82634735,128.7334747
1000008607,경산소방서 경산중앙지상155,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 226-3 ,35.83204651,128.7355194
1000008608,경산소방서 경산중앙지상156,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 874-22,35.82175446,128.7358704
1000008609,경산소방서 경산중앙지상157,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 876-3 ,35.82248306,128.7359619
1000008610,경산소방서 경산중앙지상158,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 282-44 ,35.81863022,128.7407227
1000008611,경산소방서 경산중앙지상159,소화용수시설 소화전(지상식),사용가,경북 경산시 중방동 883-34,35.82380676,128.740509
1000008424,경산소방서 경산중앙지상160,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 337-1 ,35.82141876,128.7320862
1000008422,경산소방서 경산중앙지상161,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 353-10 ,35.82030106,128.7332001
